Cell_ID,Year,Baseline_Forest_ha
G25_000387,2000,0.0726136535644531
G25_000388,2000,0.4354800903320311
G25_000389,2000,0.0
G25_000390,2000,0.0
G25_000391,2000,0.0725172973632812
G25_000392,2000,29.189406947308687
G25_000393,2000,7.574543784754137
G25_000394,2000,0.652136328125
G25_000395,2000,0.2897764892578124
G25_000396,2000,0.0
G25_000397,2000,0.0
G25_000398,2000,0.0723784301757812
G25_000399,2000,0.0
G25_000400,2000,0.0
G25_000401,2000,0.0
G25_000402,2000,0.0
G25_000403,2000,0.1456721466662837
G25_000404,2000,0.0872877708285462
G25_000405,2000,0.0
G25_000406,2000,0.0
G25_000407,2000,0.0
G25_000408,2000,0.0
G25_000409,2000,0.0
G25_000410,2000,0.0
G25_000411,2000,0.0
G25_000412,2000,0.0
G25_000413,2000,0.0
G25_000414,2000,0.2178519470214843
G25_000415,2000,0.0
G25_000416,2000,0.0
G25_000417,2000,0.0
G25_000418,2000,0.0
G25_000419,2000,0.4350952026367187
G25_000420,2000,13.01847484154794
G25_000421,2000,1.877351582773246
G25_000422,2000,0.0
G25_000423,2000,0.0
G25_000424,2000,0.0
G25_000425,2000,0.0
G25_000426,2000,0.0
G25_000427,2000,0.0
G25_000428,2000,0.0
G25_000429,2000,0.0
G25_000430,2000,0.0
G25_000431,2000,0.0
G25_000432,2000,0.0
G25_000433,2000,0.0
G25_000434,2000,0.0
G25_000435,2000,0.0
G25_000436,2000,0.0
G25_000437,2000,0.3421642261938956
G25_000438,2000,0.5819195777803309
G25_000439,2000,0.0
G25_000440,2000,0.0
G25_000441,2000,0.0
G25_000442,2000,0.0
G25_000443,2000,0.0
G25_000444,2000,0.0
G25_000445,2000,0.0
G25_000446,2000,0.0
G25_000447,2000,0.0
G25_000448,2000,0.0
G25_000449,2000,0.0
G25_000450,2000,0.0
G25_000451,2000,0.0
G25_000452,2000,0.0
G25_000453,2000,0.07253173828125
G25_000454,2000,1.3054474243164058
G25_000455,2000,4.930031146240232
G25_000456,2000,0.5797747192382812
G25_000457,2000,0.0
G25_000458,2000,0.0
G25_000459,2000,0.0
G25_000460,2000,0.0
G25_000461,2000,0.0
G25_000462,2000,0.0
G25_000463,2000,0.0
G25_000464,2000,0.0
G25_000465,2000,0.0
G25_000466,2000,0.0
G25_000467,2000,0.0
G25_000468,2000,0.0
G25_000469,2000,0.0
G25_000470,2000,0.0
G25_000471,2000,0.0
G25_000472,2000,0.0
G25_000473,2000,1.8443795849130673
G25_000474,2000,0.8754986040182675
G25_000475,2000,0.0
G25_000476,2000,0.0
G25_000477,2000,0.0
G25_000478,2000,0.0
G25_000479,2000,0.0
G25_000480,2000,0.0
G25_000481,2000,0.8000769836425781
G25_000482,2000,0.290897509765625
G25_000483,2000,0.0
G25_000484,2000,0.0
G25_000485,2000,0.0
G25_000486,2000,0.0
G25_000487,2000,0.1452507568359375
G25_000488,2000,0.0
G25_000489,2000,0.145156689453125
G25_000490,2000,0.0725569458007812
G25_000491,2000,0.0
G25_000492,2000,11.236223920802695
G25_000493,2000,0.5106317310527726
G25_000494,2000,4.131175958251952
G25_000495,2000,0.0
G25_000496,2000,0.0
G25_000497,2000,0.1448200012207031
G25_000498,2000,0.0
G25_000499,2000,0.0
G25_000500,2000,0.0
G25_000501,2000,1.259450474997128
G25_000502,2000,0.0
G25_000503,2000,0.0
G25_000504,2000,0.0
G25_000505,2000,0.0
G25_000506,2000,0.0
G25_000507,2000,0.794335302734375
G25_000508,2000,0.0
G25_000509,2000,0.0
G25_000510,2000,0.0
G25_000511,2000,0.0
G25_000512,2000,0.0
G25_000513,2000,0.0
G25_000514,2000,0.0
G25_000515,2000,0.1457032592773437
G25_000516,2000,0.0728483581542968
G25_000517,2000,0.0
G25_000518,2000,0.0
G25_000519,2000,0.0
G25_000520,2000,0.0
G25_000521,2000,0.0
G25_000522,2000,0.0727195068359375
G25_000523,2000,0.0
G25_000524,2000,0.0
G25_000525,2000,0.7741244326602712
G25_000526,2000,0.2427215737017463
G25_000527,2000,0.2178358337402343
G25_000528,2000,0.0
G25_000529,2000,0.0
G25_000530,2000,0.43530498046875
G25_000531,2000,0.4781833611701516
G25_000532,2000,5.148436730957033
G25_000533,2000,0.0
G25_000534,2000,0.0724665710449218
G25_000535,2000,0.0
G25_000536,2000,0.0
G25_000537,2000,0.0
G25_000538,2000,0.0
G25_000539,2000,0.0
G25_000540,2000,0.0
G25_000541,2000,0.3316015896905637
G25_000542,2000,0.0
G25_000543,2000,0.0
G25_000544,2000,0.0
G25_000545,2000,0.0
G25_000546,2000,0.0722227600097656
G25_000547,2000,3.1768599893966365
G25_000548,2000,0.0
G25_000549,2000,0.0
G25_000550,2000,0.0
G25_000551,2000,13.01653076231713
G25_000552,2000,21.92800624006683
G25_000553,2000,0.0
G25_000554,2000,0.0054352482575061
G25_000555,2000,6.097318584463084
